Year,Top Tier Cities in India, Number_Of_Hospitals , General_Beds , ICU_Beds 
2012,Kolkata,400,"15,000","3,000"
2012,Pune,300,"10,000","2,000"
2012,Ahmedabad,200,"8,000","2,000"
2013,Mumbai,"1,200","25,000","5,000"
2013,Delhi,"1,000","20,000","4,000"
2013,Bengaluru,800,"15,000","3,000"
2013,Chennai,600,"10,000","2,000"
2013,Hyderabad,500,"10,000","2,000"
2013,Kolkata,400,"8,000","1,500"
2013,Pune,300,"7,000","1,500"
2013,Ahmedabad,200,"5,000","1,000"
2014,Mumbai,"1,300","27,000","5,500"
2014,Delhi,"1,100","22,000","4,500"
2014,Bengaluru,900,"16,000","3,500"
2014,Chennai,700,"11,000","2,500"
2014,Hyderabad,600,"11,000","2,500"
2014,Kolkata,500,"9,000","1,750"
2014,Pune,400,"8,000","1,750"
2014,Ahmedabad,250,"6,000","1,250"
2015,Mumbai,"1,400","30,000","6,000"
2015,Delhi,"1,200","24,000","5,000"
2015,Bengaluru,"1,000","18,000","4,000"
2015,Chennai,800,"13,000","3,000"
2015,Hyderabad,700,"13,000","3,000"
2015,Kolkata,600,"10,000","2,000"
2015,Pune,500,"9,000","2,000"
2015,Ahmedabad,300,"7,000","1,500"
2016,Mumbai,"1,200","30,000","5,000"
2016,Delhi,"1,000","25,000","4,000"
2016,Bengaluru,800,"20,000","3,000"
2016,Chennai,600,"15,000","2,000"
2016,Hyderabad,500,"12,000","1,500"
2016,Kolkata,400,"10,000","1,000"
2016,Pune,300,"7,500","1,000"
2016,Ahmedabad,200,"5,000",500
2017,Mumbai,"1,250","32,500","5,500"
2017,Delhi,"1,050","27,500","4,500"
2017,Bengaluru,850,"22,500","3,500"
2017,Chennai,650,"17,500","2,500"
2017,Hyderabad,550,"13,500","1,750"
2017,Kolkata,450,"11,500","1,250"
2017,Pune,350,"8,500","1,250"
2017,Ahmedabad,250,"6,500",625
2018,Mumbai,"1,200","50,000","10,000"
2018,Delhi,"1,000","40,000","8,000"
2018,Bengaluru,800,"30,000","6,000"
2018,Chennai,700,"25,000","5,000"
2018,Hyderabad,600,"20,000","4,000"
2018,Kolkata,500,"15,000","3,000"
2018,Pune,400,"10,000","2,000"
2018,Ahmedabad,300,"8,000","1,500"
2019,Mumbai,"1,250","52,500","10,500"
2019,Delhi,"1,050","42,000","8,400"
2019,Bengaluru,850,"31,500","6,300"
2019,Chennai,750,"26,250","5,250"
2019,Hyderabad,650,"21,000","4,200"
2019,Kolkata,550,"16,250","3,250"
2019,Pune,450,"11,250","2,250"
2019,Ahmedabad,350,"9,000","1,800"
2020,Mumbai,"1,300","2,50,000","10,000"
2020,Delhi,"1,000","2,00,000","8,000"
2020,Bengaluru,700,"1,50,000","6,000"
2020,Chennai,600,"1,20,000","5,000"
2020,Hyderabad,500,"1,00,000","4,000"
2020,Kolkata,400,"80,000","3,000"
2020,Pune,300,"60,000","2,500"
2020,Ahmedabad,250,"50,000","2,000"
2021,Mumbai,"1,200","50,000","10,000"
2021,Delhi,"1,000","40,000","8,000"
2021,Bengaluru,800,"30,000","6,000"
2021,Chennai,600,"20,000","4,000"
2021,Hyderabad,500,"15,000","3,000"
2021,Kolkata,400,"10,000","2,000"
2021,Pune,300,"8,000","1,600"
2021,Ahmedabad,200,"6,000","1,200"
2022,Mumbai,"1,300","75,000","15,000"
2022,Delhi,"1,100","60,000","12,000"
2022,Bengaluru,900,"45,000","9,000"
2022,Chennai,700,"30,000","6,000"
2022,Hyderabad,600,"25,000","5,000"
2022,Kolkata,500,"20,000","4,000"
2022,Pune,400,"15,000","3,000"
2022,Ahmedabad,300,"12,000","2,400"
2023,Mumbai,"2,000","1,00,000","20,000"
2023,Delhi,"1,500","75,000","15,000"
2023,Bengaluru,"1,200","60,000","12,000"
2023,Chennai,"1,000","50,000","10,000"
2023,Hyderabad,800,"40,000","8,000"
2023,Kolkata,700,"35,000","7,000"
2023,Pune,600,"30,000","6,000"
2023,Ahmedabad,500,"25,000","5,000"
